sample_ID,analyte,result_date,result,k,units,det_lvl
235824,asphodel,2021-11-16,0.01001,2,blatt,0.01039
236267,asphodel,2021-11-18,0.01223,2,blatt,0.01269
236268,asphodel,2021-11-21,0.0129,2,blatt,0.01104
236419,asphodel,2021-11-18,0.01321,2,blatt,0.01106
236443,asphodel,2021-11-18,0,2,blatt,0.01057
236483,asphodel,2021-11-25,0.01043,2,blatt,0.01027
236484,asphodel,2021-11-15,0.01285,2,blatt,0.01145
236540,asphodel,2021-11-20,0,2,blatt,0.01064
236541,asphodel,2021-11-12,0.01368,2,blatt,0.01014
236730,asphodel,2021-11-23,0,2,blatt,0.01085
236731,asphodel,2021-12-17,0,2,blatt,0.009185
236786,asphodel,2021-11-08,0.0118,2,blatt,0.01101
236787,asphodel,2021-11-07,0.01025,2,blatt,0.01102
236871,asphodel,2021-11-18,0,2,blatt,0.01163
236908,asphodel,2021-12-04,0.01217,2,blatt,0.01103
236909,asphodel,2021-11-16,0,2,blatt,0.007516
237192,asphodel,2021-11-20,0.01055,2,blatt,0.01024
237528,asphodel,2021-11-26,0.0118,2,blatt,0.01129
237529,asphodel,2021-11-20,0.01226,2,blatt,0.00939
237792,asphodel,2021-12-20,0.01088,2,blatt,0.009991
237830,asphodel,2022-01-17,0,2,blatt,0.009374
237888,asphodel,2021-12-03,0,2,blatt,0.01097
237889,asphodel,2021-11-24,0,2,blatt,0.01017
238078,asphodel,2021-12-22,0.01301,2,blatt,0.01003
238110,asphodel,2021-11-30,0.01172,2,blatt,0.01087
238172,asphodel,2021-12-04,0,2,blatt,0.008958
238254,asphodel,2021-11-29,0,2,blatt,0.008905
238278,asphodel,2021-12-16,0.01162,2,blatt,0.009456
238282,asphodel,2021-12-28,0,2,blatt,0.007637
238430,asphodel,2021-12-14,0.01029,2,blatt,0.01059
238649,asphodel,2022-01-16,0.01238,2,blatt,0.009734
238757,asphodel,2022-01-25,0.01285,2,blatt,0.009613
238831,asphodel,2022-01-08,0.01089,2,blatt,0.008161
238858,asphodel,2022-01-28,0.01042,2,blatt,0.01075
238909,asphodel,2022-02-12,0.01378,2,blatt,0.009493
239112,asphodel,2021-12-30,0.01233,2,blatt,0.01106
239541,asphodel,2021-12-21,0.01111,2,blatt,0.01017
239542,asphodel,2021-12-28,0,2,blatt,0.01002
239543,asphodel,2022-01-02,0,2,blatt,0.01035
239544,asphodel,2021-12-18,0,2,blatt,0.01245
239549,asphodel,2022-02-04,0.01195,2,blatt,0.01108
