sample_ID,analyte,spike_value,sv_unc,sv_k,spike_unit,provider_lab,submission_date
235824,asphodel,10.53,0.012,2,mblatt,lighthouse,2021-10-08
236267,asphodel,12.11,0.012,2,mblatt,acme_analytes,2021-10-14
236267,unknownium,3.16,0.03,2,ppm,acme_analytes,2021-10-14
236268,asphodel,13.02,0.012,2,mblatt,lighthouse,2021-10-15
236419,asphodel,13.21,0.012,2,mblatt,acme_analytes,2021-10-17
236419,unknownium,2.56,0.03,2,ppm,acme_analytes,2021-10-17
236443,unknownium,3.53,0.03,2,ppm,lighthouse,2021-10-18
236483,asphodel,10.45,0.012,2,mblatt,acme_analytes,2021-10-19
236483,unknownium,2.62,0.03,2,ppm,acme_analytes,2021-10-19
236484,asphodel,13.17,0.012,2,mblatt,my_nat_lab,2021-10-20
236484,unknownium,2.66,0.03,2,ppm,my_nat_lab,2021-10-20
236540,unknownium,2.77,0.03,2,ppm,lighthouse,2021-10-21
236541,asphodel,13.93,0.012,2,mblatt,acme_analytes,2021-10-22
236541,unknownium,3.82,0.03,2,ppm,my_nat_lab,2021-10-22
236730,unknownium,3,0.03,2,ppm,my_nat_lab,2021-10-23
236731,unknownium,2.73,0.03,2,ppm,lighthouse,2021-10-24
236786,asphodel,11.88,0.012,2,mblatt,lighthouse,2021-10-25
236787,asphodel,10.63,0.012,2,mblatt,my_nat_lab,2021-10-26
236787,unknownium,2.91,0.03,2,ppm,acme_analytes,2021-10-26
236871,unknownium,3.01,0.03,2,ppm,lighthouse,2021-10-27
236908,asphodel,11.99,0.012,2,mblatt,lighthouse,2021-10-28
236909,unknownium,2.55,0.03,2,ppm,lighthouse,2021-10-29
237192,asphodel,10.86,0.012,2,mblatt,lighthouse,2021-10-30
237528,asphodel,11.89,0.012,2,mblatt,lighthouse,2021-11-01
237528,unknownium,2.94,0.03,2,ppm,acme_analytes,2021-11-01
237529,asphodel,12.44,0.012,2,mblatt,lighthouse,2021-11-02
237529,unknownium,2.54,0.03,2,ppm,acme_analytes,2021-11-02
237792,asphodel,10.95,0.012,2,mblatt,acme_analytes,2021-11-05
237792,unknownium,3.31,0.03,2,ppm,lighthouse,2021-11-05
237830,unknownium,2.43,0.03,2,ppm,my_nat_lab,2021-11-06
237888,unknownium,2.43,0.03,2,ppm,my_nat_lab,2021-11-07
237889,unknownium,3.18,0.03,2,ppm,acme_analytes,2021-11-08
238078,asphodel,13.13,0.012,2,mblatt,my_nat_lab,2021-11-09
238078,unknownium,3.23,0.03,2,ppm,lighthouse,2021-11-09
238110,asphodel,12.43,0.012,2,mblatt,my_nat_lab,2021-11-10
238110,unknownium,3.09,0.03,2,ppm,my_nat_lab,2021-11-10
238172,unknownium,2.83,0.03,2,ppm,lighthouse,2021-11-11
238254,asphodel,8.91,0.012,2,mblatt,lighthouse,2021-11-12
238278,asphodel,11.66,0.012,2,mblatt,lighthouse,2021-11-13
238282,unknownium,3.12,0.03,2,ppm,my_nat_lab,2021-11-14
238430,asphodel,10.54,0.012,2,mblatt,my_nat_lab,2021-11-15
238430,unknownium,2.91,0.03,2,ppm,my_nat_lab,2021-11-15
238649,asphodel,12.5,0.012,2,mblatt,lighthouse,2021-11-17
238649,unknownium,3.14,0.03,2,ppm,acme_analytes,2021-11-17
238757,asphodel,12.76,0.012,2,mblatt,lighthouse,2021-11-18
238831,asphodel,11.59,0.012,2,mblatt,my_nat_lab,2021-11-19
238858,asphodel,10.75,0.012,2,mblatt,acme_analytes,2021-11-20
238858,unknownium,2.47,0.03,2,ppm,lighthouse,2021-11-20
238909,asphodel,14.05,0.012,2,mblatt,acme_analytes,2021-11-21
239112,asphodel,12.26,0.012,2,mblatt,my_nat_lab,2021-11-23
239541,asphodel,11.04,0.012,2,mblatt,lighthouse,2021-11-29
239541,unknownium,2.77,0.03,2,ppm,acme_analytes,2021-11-29
239542,asphodel,9.71,0.012,2,mblatt,acme_analytes,2021-11-30
239542,Sr-90,3.35,0.0005,2,pCi/L,my_nat_lab,2021-11-30
239543,Sr-90,2.57,0.0005,2,pCi/L,acme_analytes,2021-12-01
239544,Sr-90,2.71,0.0005,2,pCi/L,lighthouse,2021-12-02
239544,unknownium,3.11,0.03,2,ppm,lighthouse,2021-12-02
239549,asphodel,11.77,0.012,2,mblatt,acme_analytes,2021-12-03
239590,asphodel,10.11,0.012,2,mblatt,my_nat_lab,2021-12-04
239590,Sr-90,2.79,0.0005,2,pCi/L,lighthouse,2021-12-04
239606,Sr-90,3.09,0.0005,2,pCi/L,lighthouse,2021-12-05
239606,unknownium,3.32,0.03,2,ppm,my_nat_lab,2021-12-05
239626,asphodel,11.14,0.012,2,mblatt,my_nat_lab,2021-12-06
239626,Sr-90,3.07,0.0005,2,pCi/L,lighthouse,2021-12-06
239626,unknownium,3.35,0.03,2,ppm,lighthouse,2021-12-07
